Postcode,Type,Latitude,Longitude,Capacity_MW,State
2485,Solar,-28.184241,153.526816,1.169,NSW
2486,Solar,-28.215215,153.479217,4.3004,NSW
2486,Solar,-28.2,153.545,0.3308,NSW
2487,Bioenergy,-28.2993722,153.5490066,0.37,NSW
2487,Bioenergy,-28.27973,153.548588,2.59,NSW
2487,Solar,-28.2993722,153.5490066,0.2625,NSW
2487,Solar,-28.27973,153.548588,1.8375000000000001,NSW
2489,Solar,-28.392183,153.541853,0.35,NSW
2489,Solar,-28.379066,153.56855,0.175,NSW
2500,Bioenergy,-34.45271156,150.8696525,0.625,NSW
2500,Bioenergy,-34.4239844,150.8673013,0.625,NSW
2500,Bioenergy,-34.423171,150.874294,6.25,NSW
2500,Bioenergy,-34.40681672,150.895558,0.625,NSW
2500,Solar,-34.45271156,150.8696525,0.7686999999999999,NSW
2500,Solar,-34.4239844,150.8673013,0.7686999999999999,NSW
2500,Solar,-34.423171,150.874294,7.687,NSW
2500,Solar,-34.40681672,150.895558,0.7686999999999999,NSW
2502,Solar,-34.494723,150.873081,3.7468000000000004,NSW
2505,Solar,-34.466406,150.943899,0.264,NSW
2506,Solar,-34.48494,150.840792,0.1405,NSW
2508,Hydro,-34.230944,150.969679,1.2,NSW
2508,Hydro,-34.16316178,150.9354342,0.15,NSW
2508,Solar,-34.230944,150.969679,1.4056,NSW
2508,Solar,-34.16316178,150.9354342,0.1757,NSW
2516,Solar,-34.332109,150.904835,0.3998,NSW
2517,Solar,-34.349362,150.891169,0.7484999999999999,NSW
2519,Solar,-34.35558,150.709623,1.5936,NSW
2526,Hydro,-34.473,150.7851,6.5,NSW
2526,Hydro,-34.380765,150.77681,52.0,NSW
2526,Solar,-34.473,150.7851,1.2953999999999999,NSW
2526,Solar,-34.380765,150.77681,10.363199999999999,NSW
2527,Hydro,-34.583539,150.754592,0.028,NSW
2527,Hydro,-34.572232,150.741423,0.004,NSW
2527,Solar,-34.583539,150.754592,3.031,NSW
2527,Solar,-34.572232,150.741423,0.43300000000000005,NSW
2528,Solar,-34.548722,150.855135,1.8864,NSW
2529,Solar,-34.592433,150.84584,21.32,NSW
2533,Solar,-34.645377,150.756883,2.1861,NSW
2534,Solar,-34.74500177,150.7510656,0.1689,NSW
2534,Solar,-34.739425,150.800637,1.1823,NSW
2535,Solar,-34.76569147,150.6495945,0.2191,NSW
2535,Solar,-34.762116,150.678303,3.0673999999999997,NSW
2536,Solar,-35.671272,150.125945,6.7228,NSW
2536,Solar,-35.62629294,150.3214736,0.2401,NSW
2536,Solar,-35.59942886,150.3328672,0.2401,NSW
2539,Solar,-35.58379312,150.3427842,0.5044,NSW
2539,Solar,-35.55355141,150.3194887,0.5044,NSW
2539,Solar,-35.522387,150.393202,9.583599999999999,NSW
2539,Solar,-35.36846014,150.1765812,0.5044,NSW
2539,Solar,-35.33902831,150.341985,0.5044,NSW
2539,Solar,-35.32707647,150.4700243,0.5044,NSW
2539,Solar,-35.31915229,150.3945638,0.5044,NSW
2539,Solar,-35.22989059,150.3632777,0.5044,NSW
2540,Solar,-35.1792077,150.5073061,3.926,NSW
2540,Solar,-35.15354262,150.3974504,3.926,NSW
2540,Solar,-35.129878,150.707521,3.926,NSW
2540,Solar,-35.11072266,150.5053351,3.926,NSW
2540,Solar,-35.10918801,150.6615698,3.926,NSW
2540,Solar,-35.0575182,150.3289641,3.926,NSW
2540,Solar,-35.05181937,150.8084888,3.926,NSW
2540,Solar,-34.97970955,150.7700464,3.926,NSW
2540,Solar,-34.96839514,150.6485049,3.926,NSW
2540,Solar,-34.95901479,150.7274786,3.926,NSW
2540,Solar,-34.91990655,150.668483,3.926,NSW
2540,Solar,-34.89013158,150.29506,3.926,NSW
2540,Solar,-34.87074481,150.5279461,3.926,NSW
2540,Solar,-34.86717057,150.3963621,3.926,NSW
2540,Solar,-34.863483,150.61644,192.374,NSW
2540,Solar,-34.85899316,150.4703105,3.926,NSW
2540,Solar,-34.85533633,150.5189336,3.926,NSW
2540,Solar,-34.84196601,150.2276536,3.926,NSW
2540,Solar,-34.8282,150.5789,3.926,NSW
2540,Solar,-34.82255635,150.558862,3.926,NSW
2540,Solar,-34.79341354,150.5311249,3.926,NSW
2540,Solar,-34.78701418,150.3784308,3.926,NSW
2541,Bioenergy,-34.990592,150.450994,7.132999999999999,NSW
2541,Bioenergy,-34.90561311,150.5966345,1.019,NSW
2541,Bioenergy,-34.8580134,150.5744743,1.019,NSW
2541,Solar,-34.990592,150.450994,6.1635,NSW
2541,Solar,-34.90561311,150.5966345,0.8805,NSW
2541,Solar,-34.8580134,150.5744743,0.8805,NSW
2546,Solar,-36.51975867,149.9838515,0.1848,NSW
2546,Solar,-36.25486,150.225372,3.6959999999999997,NSW
2550,Hydro,-37.0890854,149.4516547,4.95,NSW
2550,Hydro,-36.737758,149.699222,257.40000000000003,NSW
2550,Hydro,-36.62033441,149.8019808,4.95,NSW
2550,Hydro,-36.58454146,149.8614937,4.95,NSW
2550,Solar,-37.0890854,149.4516547,0.5439,NSW
2550,Solar,-36.737758,149.699222,28.282799999999998,NSW
2550,Solar,-36.62033441,149.8019808,0.5439,NSW
2550,Solar,-36.58454146,149.8614937,0.5439,NSW
2557,Solar,-34.01209133,150.7811469,0.9752,NSW
2557,Solar,-33.993545,150.774858,2.9255999999999998,NSW
2560,Bioenergy,-34.29377285,150.8248095,6.5,NSW
2560,Bioenergy,-34.194216,150.768408,117.0,NSW
2560,Solar,-34.29377285,150.8248095,1.9472,NSW
